discipline_initial,to_other_department,to_other_government,to_private_sector,to_non_profit,to_academia,unknown_departure_type
Admin / Operations,89% (8),11% (1),0%,0%,0%,0%
Design,9% (1),18% (2),55% (6),9% (1),0%,9% (1)
Design Research,20% (1),40% (2),0%,20% (1),20% (1),0%
Leadership,25% (2),12% (1),50% (4),0%,12% (1),0%
Outreach,71% (5),0%,14% (1),0%,0%,14% (1)
Policy,67% (4),33% (2),0%,0%,0%,0%
Product Management,0%,0%,50% (3),17% (1),0%,33% (2)
Software Development,19% (5),4% (1),67% (18),0%,0%,11% (3)
Stakeholder Engagement,50% (2),0%,25% (1),25% (1),0%,0%
Talent,0%,0%,100% (1),0%,0%,0%
